price,date,time,geo_lat,geo_lon,region,building_type,level,levels,rooms,area,kitchen_area,object_type
5800000,2018-07-31,10:33:17,60.022958,30.370369,78,2,6,14,1,47.1,12.0,1
1980000,2018-07-31,14:34:28,59.454253,29.5000055,47,1,5,5,2,54.3,8.4,1
3150000,2018-07-31,20:46:50,58.631363,59.7853588,66,4,2,4,3,76.6,9.0,1
2600000,2018-08-01,09:18:43,56.1205946,93.331962,24,1,4,5,3,69.0,9.0,1
2350000,2018-08-01,10:50:24,43.4923108,43.5935978,7,3,3,7,1,44.0,11.0,1
10499000,2018-08-01,11:31:39,55.8863052,37.4326773,50,1,6,23,4,110.0,12.0,1
2600000,2018-08-02,09:30:45,57.6073975,39.8395594,76,3,1,4,1,42.0,11.0,1
2220000,2018-08-03,09:15:28,53.3354981,83.7882999,22,3,2,3,2,44.0,7.0,1
1250000,2018-08-03,10:57:36,56.7439851,38.881941,76,3,3,5,1,32.0,6.0,1
3100000,2018-08-03,12:13:13,56.3062548,38.1502661,50,3,3,5,3,57.0,6.0,1
2400000,2018-08-03,12:41:19,44.0289752,43.0534628,26,3,2,6,1,50.0,14.0,1
1150000,2018-08-03,15:06:10,45.084112,39.020193,23,3,4,6,1,38.0,9.0,1
5399940,2018-08-04,07:39:22,55.7029452,37.8871138,50,1,2,16,2,60.2,11.2,11
5904800,2018-08-04,07:43:24,55.6968448,37.9073245,50,1,25,25,2,67.1,10.7,11
8806100,2018-08-04,07:43:24,55.87287,37.59311,77,1,5,24,2,53.5,18.5,11
5969650,2018-08-04,07:43:27,55.6968448,37.9073245,50,1,23,25,2,66.7,11.4,11
4235680,2018-08-04,07:43:29,55.6968448,37.9073245,50,1,25,25,1,36.8,9.3,11
8677850,2018-08-04,09:37:24,55.915306,37.720106,50,2,2,14,3,88.1,10.6,11
3600000,2018-08-07,16:41:30,55.8257648,49.0725279,16,3,4,6,1,57.7,9.3,1
2420000,2018-08-08,10:32:32,56.109963,92.913702,24,3,2,17,2,54.0,13.0,11
2650000,2018-08-08,16:08:22,58.234476,68.274701,72,1,9,9,4,79.0,9.0,1
13700000,2018-08-08,17:07:12,55.6388284,37.5384822,77,1,12,12,2,65.0,12.0,1
3100000,2018-08-09,10:27:23,43.48278,43.574858,7,3,3,5,3,64.0,8.0,1
10272240,2018-08-10,12:45:28,59.9391313,30.3159004,78,2,3,8,2,78.0,15.6,11
4100000,2018-08-10,12:56:21,59.9305317,30.6205086,47,1,4,10,2,67.0,10.6,1
3500000,2018-08-11,06:46:31,47.23871,39.8082432,61,3,3,5,3,64.0,11.0,1
1950000,2018-08-12,20:01:49,56.2318163,43.4362229,52,3,1,9,1,40.0,8.0,1
2750000,2018-08-12,21:00:59,60.0393986,30.4494963,47,3,14,27,1,36.0,9.3,1
4458000,2018-08-13,10:03:59,55.5396746,37.7167903,50,1,4,17,2,61.2,11.9,11
6332000,2018-08-13,10:04:00,55.5633379,37.851372,50,2,7,9,3,96.7,16.6,11
5158890,2018-08-13,10:43:29,55.7485953,37.9252958,50,2,1,6,1,60.1,11.1,11
3750000,2018-08-13,20:00:52,55.5774674,38.2052556,50,3,6,10,1,42.5,10.6,1
3690000,2018-08-13,23:47:42,55.5774674,38.2052556,50,2,6,10,1,43.0,11.0,1
9500000,2018-08-14,01:46:17,55.629221,37.518542,77,1,17,17,2,50.9,8.5,1
2730000,2018-08-14,07:41:49,55.7659045,52.4191332,16,1,3,9,2,54.0,10.0,1
3445000,2018-08-14,18:31:05,43.403842,40.003363,23,2,5,12,1,34.0,7.0,11
2700000,2018-08-15,15:57:53,59.5717476,30.1194336,47,3,3,5,2,45.0,31.0,1
1200000,2018-08-16,12:06:07,53.087794,91.410785,19,1,1,5,2,46.0,7.0,1
6800000,2018-08-16,12:27:34,55.6832456,37.8689023,50,1,1,14,3,68.0,9.0,1
3750000,2018-08-18,07:39:01,55.4115543,36.7162291,50,3,4,5,3,50.5,6.2,1
1200000,2018-08-22,08:30:21,56.9086605,59.942029,66,1,2,5,1,28.0,5.0,1
4200000,2018-08-23,11:23:45,45.053582,39.031826,23,3,15,18,2,65.0,13.0,1
2550000,2018-08-23,13:26:39,45.026138,39.018226,23,3,7,16,1,39.7,10.0,1
2100000,2018-08-23,16:12:05,56.493675,38.181607,50,1,8,9,3,70.0,7.0,1
1350000,2018-08-23,22:40:48,44.7689895,39.8649958,23,3,3,5,1,33.0,9.0,1
2600000,2018-08-25,02:52:47,54.1709324,45.1423289,13,3,7,9,3,60.0,10.0,1
2960000,2018-08-25,13:01:31,45.063699,39.036884,23,1,4,16,2,58.0,10.0,1
2550000,2018-08-26,18:34:07,45.133927,39.008272,23,3,18,20,1,43.0,12.0,11
1110000,2018-08-26,19:45:13,53.5292897,49.17818,63,4,1,3,1,36.0,8.3,1
2850000,2018-08-27,10:52:24,44.99311,39.068316,23,2,12,25,3,91.0,18.0,11
2160000,2018-08-27,11:46:08,55.8116984,49.195913,1347,3,2,5,1,31.0,6.5,1
2500000,2018-08-27,13:02:23,55.7649561,38.4460706,50,1,3,5,2,44.0,6.0,1
4368880,2018-08-27,13:09:09,55.7042711,37.9420436,77,1,13,17,1,38.8,7.4,11
1750000,2018-08-27,14:57:20,43.9172201,42.7080805,26,3,1,5,1,38.0,8.0,1
3300000,2018-08-28,12:02:58,45.0725309,39.0384593,23,3,18,24,2,63.0,11.0,1
4990000,2018-08-28,16:00:02,59.8262216,30.207174,78,1,8,9,3,60.0,6.0,1
2100000,2018-08-28,18:52:04,54.7393328,83.058362,54,3,8,9,1,35.2,12.0,1
2190000,2018-08-29,09:29:44,45.1054739,38.9697956,23,2,9,12,2,48.5,16.5,11
2490000,2018-08-29,13:37:37,45.020991,39.045768,23,1,4,5,2,46.0,7.0,1
7500000,2018-08-29,14:40:58,43.626335,39.698437,23,2,1,9,2,76.0,15.0,1
10550000,2018-08-29,18:44:37,55.4846387,37.3067639,77,1,6,15,3,77.0,10.0,1
8037466,2018-08-30,10:42:05,55.7042711,37.9420436,77,1,16,17,3,84.6,10.0,11
1750000,2018-08-30,11:41:49,45.09787,39.005326,23,2,5,16,1,39.2,10.0,1
6217920,2018-08-30,12:52:35,55.7042711,37.9420436,77,1,2,17,2,61.2,12.6,11
1690000,2018-08-30,14:26:50,47.52453,42.193382,61,1,7,8,2,51.0,10.0,1
4800000,2018-08-30,14:45:34,59.8615511,30.3427614,78,3,8,19,1,35.7,9.3,1
6380000,2018-08-30,14:54:02,59.9489239,30.2421301,78,3,5,9,2,49.0,8.0,1
4900000,2018-08-30,15:08:37,59.9153024,30.4816295,78,4,7,9,2,50.0,9.0,1
3200000,2018-08-30,15:14:07,59.918065,30.505386,47,2,23,24,1,33.0,10.0,1
6950000,2018-08-30,16:43:06,55.8792639,37.3137409,50,2,3,4,-2,48.6,12.0,1
2700000,2018-08-30,17:57:18,47.199913,39.654817,61,3,5,5,1,41.0,12.0,1
5000000,2018-08-30,20:57:17,59.9898689,29.7881002,78,3,2,4,3,72.1,7.6,1
3490000,2018-08-31,09:10:33,56.8977241,60.5733406,66,3,5,5,3,60.8,6.0,1
3735430,2018-08-31,10:34:17,59.8498956,30.3536147,78,2,2,24,1,35.1,11.9,11
2250000,2018-08-31,11:52:32,45.03433,38.905226,23,4,10,12,1,34.0,6.0,1
2750000,2018-08-31,15:22:51,53.3442883,83.6632084,22,1,8,9,3,70.0,9.0,1
1000000,2018-08-31,15:30:03,56.114403,47.4960436,21,3,1,5,2,42.0,6.0,1
1690000,2018-08-31,15:33:12,51.3691544,42.1155192,36,3,1,5,2,45.0,9.0,1
2950000,2018-08-31,16:42:58,55.859248,37.1266372,50,3,2,5,1,33.4,7.0,1
1800000,2018-08-31,17:58:30,55.3752075,39.0553288,50,4,3,3,2,57.0,9.0,11
2153836,2018-08-31,18:44:08,59.845437,30.115149,78,2,6,8,1,28.9,4.8,11
